media	curso	renda
35.1	FÍSICA(LICENCIATURA)	De 1,5 a 3 salários mínimos
37.98	FÍSICA(LICENCIATURA)	De 3 a 4,5 salários mínimos
25.24	FÍSICA(LICENCIATURA)	Não Informado
39.93	FÍSICA(LICENCIATURA)	De 6 a 10 salários mínimos
32.42	FÍSICA(LICENCIATURA)	Até 1,5 salário mínimo
38.34	FÍSICA(LICENCIATURA)	De 4,5 a 6 salários mínimos
45.27	FÍSICA(LICENCIATURA)	Acima de 30 salários mínimos
44.72	FÍSICA(LICENCIATURA)	De 10 a 30 salários mínimos
35.34	QUÍMICA(BACHARELADO)	De 1,5 a 3 salários mínimos
33.31	QUÍMICA(BACHARELADO)	Até 1,5 salário mínimo
35.93	QUÍMICA(BACHARELADO)	De 3 a 4,5 salários mínimos
38.38	QUÍMICA(BACHARELADO)	De 4,5 a 6 salários mínimos
38.89	QUÍMICA(BACHARELADO)	De 6 a 10 salários mínimos
40.12	QUÍMICA(BACHARELADO)	De 10 a 30 salários mínimos
40.97	QUÍMICA(BACHARELADO)	Acima de 30 salários mínimos
17.37	QUÍMICA(BACHARELADO)	Não Informado
37.63	QUÍMICA(LICENCIATURA)	De 1,5 a 3 salários mínimos
38.47	QUÍMICA(LICENCIATURA)	De 3 a 4,5 salários mínimos
34.69	QUÍMICA(LICENCIATURA)	Até 1,5 salário mínimo
40.88	QUÍMICA(LICENCIATURA)	De 6 a 10 salários mínimos
40.15	QUÍMICA(LICENCIATURA)	De 4,5 a 6 salários mínimos
45.94	QUÍMICA(LICENCIATURA)	De 10 a 30 salários mínimos
31.68	QUÍMICA(LICENCIATURA)	Não Informado
43.32	QUÍMICA(LICENCIATURA)	Acima de 30 salários mínimos
44.23	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	De 3 a 4,5 salários mínimos
29.32	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	Não Informado
48.81	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	De 10 a 30 salários mínimos
47.51	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	Acima de 30 salários mínimos
45.81	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	De 6 a 10 salários mínimos
42.56	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	De 1,5 a 3 salários mínimos
45.39	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	De 4,5 a 6 salários mínimos
39.86	CIÊNCIAS BIOLÓGICAS(BACHARELADO)	Até 1,5 salário mínimo
42.24	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	De 4,5 a 6 salários mínimos
44.12	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	De 6 a 10 salários mínimos
35.98	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	Até 1,5 salário mínimo
39.36	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	De 1,5 a 3 salários mínimos
41.05	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	De 3 a 4,5 salários mínimos
32.7	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	Não Informado
46.5	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	De 10 a 30 salários mínimos
47.05	CIÊNCIAS BIOLÓGICAS(LICENCIATURA)	Acima de 30 salários mínimos
48.11	PEDAGOGIA(LICENCIATURA)	De 6 a 10 salários mínimos
38.52	PEDAGOGIA(LICENCIATURA)	Até 1,5 salário mínimo
42.21	PEDAGOGIA(LICENCIATURA)	De 1,5 a 3 salários mínimos
49.8	PEDAGOGIA(LICENCIATURA)	De 10 a 30 salários mínimos
44.8	PEDAGOGIA(LICENCIATURA)	De 3 a 4,5 salários mínimos
47.69	PEDAGOGIA(LICENCIATURA)	Acima de 30 salários mínimos
46.14	PEDAGOGIA(LICENCIATURA)	De 4,5 a 6 salários mínimos
35	PEDAGOGIA(LICENCIATURA)	Não Informado
47.73	HISTÓRIA(BACHARELADO)	De 10 a 30 salários mínimos
33.51	HISTÓRIA(BACHARELADO)	Não Informado
43.24	HISTÓRIA(BACHARELADO)	De 4,5 a 6 salários mínimos
45.96	HISTÓRIA(BACHARELADO)	De 6 a 10 salários mínimos
40.09	HISTÓRIA(BACHARELADO)	De 1,5 a 3 salários mínimos
49.78	HISTÓRIA(BACHARELADO)	Acima de 30 salários mínimos
37.22	HISTÓRIA(BACHARELADO)	Até 1,5 salário mínimo
43.15	HISTÓRIA(BACHARELADO)	De 3 a 4,5 salários mínimos
45.97	HISTÓRIA(LICENCIATURA)	De 10 a 30 salários mínimos
35.92	HISTÓRIA(LICENCIATURA)	De 1,5 a 3 salários mínimos
32.59	HISTÓRIA(LICENCIATURA)	Até 1,5 salário mínimo
39.8	HISTÓRIA(LICENCIATURA)	De 4,5 a 6 salários mínimos
41.37	HISTÓRIA(LICENCIATURA)	De 6 a 10 salários mínimos
29.05	HISTÓRIA(LICENCIATURA)	Não Informado
38.53	HISTÓRIA(LICENCIATURA)	De 3 a 4,5 salários mínimos
48.9	HISTÓRIA(LICENCIATURA)	Acima de 30 salários mínimos
42.28	ARTES VISUAIS(LICENCIATURA)	De 6 a 10 salários mínimos
38.96	ARTES VISUAIS(LICENCIATURA)	De 3 a 4,5 salários mínimos
33.04	ARTES VISUAIS(LICENCIATURA)	Não Informado
49.51	ARTES VISUAIS(LICENCIATURA)	De 10 a 30 salários mínimos
37.35	ARTES VISUAIS(LICENCIATURA)	De 1,5 a 3 salários mínimos
40.74	ARTES VISUAIS(LICENCIATURA)	De 4,5 a 6 salários mínimos
34.82	ARTES VISUAIS(LICENCIATURA)	Até 1,5 salário mínimo
57.41	ARTES VISUAIS(LICENCIATURA)	Acima de 30 salários mínimos
41.31	GEOGRAFIA(BACHARELADO)	De 1,5 a 3 salários mínimos
38.07	GEOGRAFIA(BACHARELADO)	Não Informado
43.14	GEOGRAFIA(BACHARELADO)	De 6 a 10 salários mínimos
47.8	GEOGRAFIA(BACHARELADO)	De 10 a 30 salários mínimos
42.71	GEOGRAFIA(BACHARELADO)	De 3 a 4,5 salários mínimos
37.87	GEOGRAFIA(BACHARELADO)	Até 1,5 salário mínimo
41.25	GEOGRAFIA(BACHARELADO)	De 4,5 a 6 salários mínimos
44	GEOGRAFIA(BACHARELADO)	Acima de 30 salários mínimos
35.52	GEOGRAFIA(LICENCIATURA)	De 1,5 a 3 salários mínimos
37.25	GEOGRAFIA(LICENCIATURA)	De 3 a 4,5 salários mínimos
33.47	GEOGRAFIA(LICENCIATURA)	Até 1,5 salário mínimo
37.98	GEOGRAFIA(LICENCIATURA)	De 4,5 a 6 salários mínimos
34.4	GEOGRAFIA(LICENCIATURA)	Não Informado
33.74	GEOGRAFIA(LICENCIATURA)	Acima de 30 salários mínimos
40.58	GEOGRAFIA(LICENCIATURA)	De 10 a 30 salários mínimos
39.33	GEOGRAFIA(LICENCIATURA)	De 6 a 10 salários mínimos
27.6	FILOSOFIA(BACHARELADO)	Não Informado
48.57	FILOSOFIA(BACHARELADO)	De 6 a 10 salários mínimos
34.13	FILOSOFIA(BACHARELADO)	Até 1,5 salário mínimo
45.68	FILOSOFIA(BACHARELADO)	De 4,5 a 6 salários mínimos
49.22	FILOSOFIA(BACHARELADO)	De 10 a 30 salários mínimos
40.96	FILOSOFIA(BACHARELADO)	De 1,5 a 3 salários mínimos
43.97	FILOSOFIA(BACHARELADO)	De 3 a 4,5 salários mínimos
54.35	FILOSOFIA(BACHARELADO)	Acima de 30 salários mínimos
41.85	FILOSOFIA(LICENCIATURA)	De 6 a 10 salários mínimos
33.42	FILOSOFIA(LICENCIATURA)	Até 1,5 salário mínimo
38.8	FILOSOFIA(LICENCIATURA)	De 3 a 4,5 salários mínimos
37.17	FILOSOFIA(LICENCIATURA)	De 1,5 a 3 salários mínimos
39.21	FILOSOFIA(LICENCIATURA)	De 4,5 a 6 salários mínimos
28.39	FILOSOFIA(LICENCIATURA)	Não Informado
41.74	FILOSOFIA(LICENCIATURA)	De 10 a 30 salários mínimos
42.26	FILOSOFIA(LICENCIATURA)	Acima de 30 salários mínimos
39.63	EDUCAÇÃO FÍSICA(LICENCIATURA)	De 1,5 a 3 salários mínimos
41.76	EDUCAÇÃO FÍSICA(LICENCIATURA)	De 4,5 a 6 salários mínimos
40.34	EDUCAÇÃO FÍSICA(LICENCIATURA)	De 3 a 4,5 salários mínimos
41.6	EDUCAÇÃO FÍSICA(LICENCIATURA)	De 10 a 30 salários mínimos
